source_id,source_type,video_id,parent_id,is_reply,author,text,like_count,public
UgziTw48XPz4negTM9N4AaABAg,comment,DHRxnTPrzOQ,,False,@OldLien1,"if you are looking at the reviews because you're thinking of buying one of these cars, let me start by saying don't take too much notice of Motoring journalist most of them are ******* I can tell you I've watched every review and read every article, I also have had a very extensive range of vehicles in my time a great deal of them from NEW!  mercedes, bmw, audi's  jaguar's admittedly none of them were electric. But I have the excellence model and I find it to be the best car I've ever had by some margin, so smooth so quiet and so exceptionally Powerful, It goes a long way to restoring the pleasure of driving, every time I take it out it's a pleasure. So in my opinion if you're thinking of buying one go ahead don't worry it's brilliant.
there is no problem with the range, 99% of these journalists get bogged down wandering and worrying about how much mileage range the vehicle has
over 300 miles,  to me the average motorist who's gonna buy one would not be doing that sort of mileage in a day and would probably never ever used a public charger.
PS. they make me laugh how they keep showing you the rotating screen, ALL OF THEM! I bet everybody who's got one will never rotate it,
motoring journalists they're all so original in their presentations. LOL.",0,True
UgzVAcYXjfq3LF9CjhN4AaABAg,comment,DHRxnTPrzOQ,,False,@lekMike-x6u,I want a seal,0,True
UgxgmKU4T0zX1mYq7QR4AaABAg,comment,DHRxnTPrzOQ,,False,@iainmclaughlan1557,That screen is bigger than the screen for my Amiga 600..,0,True
UgwAPjzvZ9esHHxkX6R4AaABAg,comment,DHRxnTPrzOQ,,False,@DreamThenTravel,Had to come find this car. I just rode in one today here in Madrid while on vacation with my family. My wife kept saying this is a Tesla like yours honey! I said no it’s not. She pointed out the similarities. I said oh. It does look like a Tesla…but it’s not. The inside of that car is way better my Tesla.,0,True
Ugx7uOKpXd1vkH-bku14AaABAg,comment,DHRxnTPrzOQ,,False,@N570389,The flashing dashboard behind the steering wheel is pretty annoying. Is it always like that?,0,True
UgyFLaOxAp7A9Sq3RhR4AaABAg,comment,DHRxnTPrzOQ,,False,@W67w,So touching the infotainment screen is fine but touching your phone means you will get points!,0,True
Ugz-yze_rfP7BMXGZ-R4AaABAg,comment,DHRxnTPrzOQ,,False,@nigelstanmore1841,"Good grief.. talk about a half glass empty review.. crikey why doesn’t the reviewer go to his Gp and get some sertraline .. flipping eck ‘try to be +ve’
It ain’t a 1977 Vauxhall viva 🤣",0,True
UgwYB88MrV_pWHsLIlp4AaABAg,comment,DHRxnTPrzOQ,,False,@paulmorris4152,First World problems...dirty finger.,0,True
UgyLjKTUJ2j5oQxnHYR4AaABAg,comment,DHRxnTPrzOQ,,False,@sh856531,The reason to not buy a Tesla these days is really simple - Elon.,0,True
UgxEJfQKosYYPLuy9qF4AaABAg,comment,DHRxnTPrzOQ,,False,@aidenwrenn5342,At least it hasn't got a musky smell!,0,True
UgwQW7oQbyP8Kjpm0NB4AaABAg,comment,DHRxnTPrzOQ,,False,@blvcknoirent,"ngl this car looks, boring",0,True
