source_id,source_type,video_id,parent_id,is_reply,author,text,like_count,public
Ugw0DJDzhieDwcWYfet4AaABAg,comment,XTeWKmlNmN8,,False,@edmundscars,"You know what we think, but what do you think of the Model 3 Standard's value proposition? Let us know in the comments.",21,True
Ugw0DJDzhieDwcWYfet4AaABAg.AO3vpa1GDx_AO4C3fj3etC,comment,XTeWKmlNmN8,Ugw0DJDzhieDwcWYfet4AaABAg,True,@williampisano7573,"Some one has to pay for Elon 1 trillion pay package 📦 and Elon is hope you over pay by 7,000 for this model 3 lol 😂 or 10k for the model Y lol 😂 because it’s worse and more expensive!!!!!!!!!!!",2,True
Ugw0DJDzhieDwcWYfet4AaABAg.AO3vpa1GDx_AO5sYK13fvX,comment,XTeWKmlNmN8,Ugw0DJDzhieDwcWYfet4AaABAg,True,@markplott4820,"Edmunds , I have NEVER EVER trusted you. 
you Dont provide HONEST & FACTUAL reviews of BEV's.
and YOU are too closely in BED w/ Legacy autos & ICE car industry.",1,True
Ugw0DJDzhieDwcWYfet4AaABAg.AO3vpa1GDx_AO5svHWbq1c,comment,XTeWKmlNmN8,Ugw0DJDzhieDwcWYfet4AaABAg,True,@markplott4820,"VERY Unprofessional of YOU , to do car reviews in Gym shorts.",0,True
Ugw0DJDzhieDwcWYfet4AaABAg.AO3vpa1GDx_AO5vFlxms_P,comment,XTeWKmlNmN8,Ugw0DJDzhieDwcWYfet4AaABAg,True,@markplott4820,"I ordered LOWERING kit , for my 2025 Tesla model 3 RWD.",0,True
Ugw0DJDzhieDwcWYfet4AaABAg.AO3vpa1GDx_AO5vrTgEnYg,comment,XTeWKmlNmN8,Ugw0DJDzhieDwcWYfet4AaABAg,True,@markplott4820,"EDMUNDS , its important to note that NONE of the USA OEMS , other than TESLA make BEV Profitably and NONE offer FSD v14 .",0,True
Ugw0DJDzhieDwcWYfet4AaABAg.AO3vpa1GDx_AO5w-WlMd-K,comment,XTeWKmlNmN8,Ugw0DJDzhieDwcWYfet4AaABAg,True,@markplott4820,"meanwhile, POLESTAR loss over +$40,000 on each car.........lol.",0,True
Ugw0DJDzhieDwcWYfet4AaABAg.AO3vpa1GDx_AR5cXuY0Sgq,comment,XTeWKmlNmN8,Ugw0DJDzhieDwcWYfet4AaABAg,True,@taefravis,@williampisano7573 True!,0,True
Ugw0DJDzhieDwcWYfet4AaABAg.AO3vpa1GDx_AR5c_uUc9Wd,comment,XTeWKmlNmN8,Ugw0DJDzhieDwcWYfet4AaABAg,True,@taefravis,How much did Hair Elon pay you for this sycophantic review ?,0,True
Ugw0DJDzhieDwcWYfet4AaABAg.AO3vpa1GDx_AR5maQG-WeX,comment,XTeWKmlNmN8,Ugw0DJDzhieDwcWYfet4AaABAg,True,@markplott4820,I dont think of EDMUNDS at all.,0,True
Ugw0DJDzhieDwcWYfet4AaABAg.AO3vpa1GDx_AUjbO9Tf4qm,comment,XTeWKmlNmN8,Ugw0DJDzhieDwcWYfet4AaABAg,True,@God-AllahLovesIsrael,"Great, right to the point review. Ty",0,True
Ugw0DJDzhieDwcWYfet4AaABAg.AO3vpa1GDx_AXeNULzIo_7,comment,XTeWKmlNmN8,Ugw0DJDzhieDwcWYfet4AaABAg,True,@Drewv86,@williampisano7573 do you recommend this vehicle sir?,0,True
UgxR4S-K5bj7563PgyR4AaABAg,comment,XTeWKmlNmN8,,False,@Robin6512,Standard y it will be due to the stupid glass roof. I really do hate that,0,True
UgxWgfm2zQwUhkq94-l4AaABAg,comment,XTeWKmlNmN8,,False,@tyturner5870,"I might bet me one next year, tired of the game stuff",0,True
UgwXosDUxa7YdPObuj14AaABAg,comment,XTeWKmlNmN8,,False,@Doc1855,"The Dark interiors of the Tesla’s are so Depressing, Outdated, Boring.
Gloomy Grey and Death Black interiors became popular in 1990 and Every Automaker has been shoving those 2 colors down Everyone’s throats for 36 years now and continuing to Force everyone into their tastes, which has become Disgusting 🤮",0,True
UgwA6sabJDGgzUBcN0V4AaABAg,comment,XTeWKmlNmN8,,False,@mc-shadoofficial2716,Trash car I have receipts to prove it,0,True
UgwII_0zCWd_wxUBmSR4AaABAg,comment,XTeWKmlNmN8,,False,@LeeSU-f6y,太简陋了,0,True
UgwznSj_jrYrHkQmNzh4AaABAg,comment,XTeWKmlNmN8,,False,@kwells5,"Old design, decontented, still ugly and 39k is not inexpensive.  Loads of better options.",0,True
UgyvUa5nm85EyrOb6xB4AaABAg,comment,XTeWKmlNmN8,,False,@maxseltzer3,"I like paying for features that I will use.  For most people, this model is the smart financial move.  For those that want more speed, go long range AWD.",1,True
UgxAGq1jF2nzGbFUl-p4AaABAg,comment,XTeWKmlNmN8,,False,@lomate1963,❤ sheriff Labrador 😂,0,True
UgyAKsagppij8vTQ3Ed4AaABAg,comment,XTeWKmlNmN8,,False,@sandysanmaung4599,"TESLA 
Buying Tesla excitement turned into disappointment, fraustrating, anger and Nightmare from Tesla Stockton, CA and Rocklin CA.
Ordered at Tesla Stockton, CA on April 29, 2026. Delivery date on May 3rd. Went to Tesla Stockton. CA with full of excitement with my wife. When we inspect the 2026 Model Y Standard. Was full of scratches on truck glasses and dent. I was very disappointed but still let it slide hoping will get a better quality and reject it. There was another Model Y stock in Tesla Rocklin. CA. So they fixed my delivery day to May10th,2026. With the Mother’s Day and my mom’s birthday I told her gonna be bit late for that since I was scheduled to get the car. Two days prior, I sent message to Tesla Team from Stockton and Rocklin,CA.
These are my exact message
“Hello ,
Sorry to bother you. I am going to pick up vehicle on May 10th, Sunday.
My humble request since I don't want to be disappointed  picking up vehicle again. Can you please advise Rocklin, CA  Tesla to check scratches, and other quality issues for me before delivering the car. Not anyone's fault. I just want to  get the car and get out of there happy as a happy customer this time. 
Thank you
They replied to me

“Hello from Rocklin Delivery! Yes our detail team will make sure to inspect the vehicle inside and out. If there are any imperfections from the factory, we will make note of it and set an appointment for you to get them fixed! You will have a smooth delivery regardless!

We will make a note to charge the vehicle to 100%.

So went to Rocklin. CA to get the car on May 10th, 
The car was ready and I did the inprction. Frunk trim was not aligned, no back light reflector, chip on driver side door.door bit hard to close and advisor told me just because of the new rubber.shield.
Advisor told me if I stop by Stockton Tesla, they will put it for me
Didn’t have my car I decided to take it since advisor told me it will be fixed at the service. 
Very disappointed fraustrated. I had a promo code for 3 months of FSD. Stockton Tesla  promised me with me with another 3 months of FSD while on first visit and on second visit another promise 3 months FSD from  Rocklin, CA total 9 month but still not showing.
Came home tried to open the glove box it open just a bit and look at underneath is vented trim under the glove box. went to Stockton Tesla, They put in reflector for me and scheduled for May27th.
my car buying experience inn30 years, this is the worse. Sales people just ignore you. Worse then small local dealers. I have all the pictures of defective. If I ask them for manager to talk they simply text me back to schedule maintenance. 
I really regret buying Tesla",0,True
UgzFCVK81zAGEjpxGdp4AaABAg,comment,XTeWKmlNmN8,,False,@zane2673,Awesome review!,0,True
Ugxf-cscX-xPbhVRrF14AaABAg,comment,XTeWKmlNmN8,,False,@schrimpf,Looks really great in one of the dark colours…👍,0,True
Ugx8TxyHQPXLMa-3q4x4AaABAg,comment,XTeWKmlNmN8,,False,@user-NiqNiq,"Nice, just leased a Tesla Model 3 RWD. £197/month 8K miles for 24 months and its £1600 advance payment. Its from Tesla and that deal is the cheapest on the planet.",0,True
Ugx8TxyHQPXLMa-3q4x4AaABAg.AWEZ9yxBSpsAWEmwhLmmVO,comment,XTeWKmlNmN8,Ugx8TxyHQPXLMa-3q4x4AaABAg,True,@Adz-i4l4u,When I saw this deal I thought there was a catch. Gonna test drive it tomorrow lol.,0,True
Ugx8TxyHQPXLMa-3q4x4AaABAg.AWEZ9yxBSpsAW_McFIDbGQ,comment,XTeWKmlNmN8,Ugx8TxyHQPXLMa-3q4x4AaABAg,True,@TeslaServices-r6k,"Heartfelt with thanks  from the Elon musk Team🎊❤️  

Dear 

I would like to extend our sincere to everyone who follows, supports, and believes in the work and vision of Elon Musk.

Your curiosity, engagement, and willingness to think beyond conventional limits help keep innovation alive. Whether your interest lies in space exploration, sustainable energy, artificial intelligence, or bold technological ideas that challenge the status quo, your support plays an important role in shaping conversations about the future. 

Progress has always been drive  by people who are not afraid to question what is possible and to imagine what could be. By staying informed, sharing ideas, and engaging thoughtfully, you contribute to a global community that values ambition, creativity, and forward-thinking solutions.

Thank you for being part of that community and for continuing to look toward the future with optimism and courage.

With appreciation,  
Elon Musk",0,True
Ugx8TxyHQPXLMa-3q4x4AaABAg.AWEZ9yxBSpsAW_Me5SCH4B,comment,XTeWKmlNmN8,Ugx8TxyHQPXLMa-3q4x4AaABAg,True,@TeslaServices-r6k,"​@Adz-i4l4uHeartfelt with thanks  from the Elon musk Team🎊❤️  

Dear 

I would like to extend our sincere to everyone who follows, supports, and believes in the work and vision of Elon Musk.

Your curiosity, engagement, and willingness to think beyond conventional limits help keep innovation alive. Whether your interest lies in space exploration, sustainable energy, artificial intelligence, or bold technological ideas that challenge the status quo, your support plays an important role in shaping conversations about the future. 

Progress has always been drive  by people who are not afraid to question what is possible and to imagine what could be. By staying informed, sharing ideas, and engaging thoughtfully, you contribute to a global community that values ambition, creativity, and forward-thinking solutions.

Thank you for being part of that community and for continuing to look toward the future with optimism and courage.

With appreciation,  
Elon Musk",0,True
Ugx8TxyHQPXLMa-3q4x4AaABAg.AWEZ9yxBSpsAWmaUTTL9rP,comment,XTeWKmlNmN8,Ugx8TxyHQPXLMa-3q4x4AaABAg,True,@DaveC1964,"Just going to order 2 model 3 standard on same deal, £180 a month cheaper than my model y and a basic Clio, was your insurance reasonable?",0,True
