source_id,source_type,video_id,parent_id,is_reply,author,text,like_count,public
Ugwg3CebHTJ8r_xnfip4AaABAg,comment,eNYndWedZsE,,False,@andym5338,"I don't know how reviewers can say it's a good car when u only get it for a while to make ur content,  I know Taxi drivers that bought a BYD A DTHEYNOT VERY HAPPY  . YOU ALSO DONT SAY THE PROBLEMS WITH AFTER SALE SERVICE..",0,True
UgyUOi2gnmeH32p7idN4AaABAg,comment,eNYndWedZsE,,False,@zargsch,"Had my Seal Excellence since November '25 now, a little over 6.000km on the clock and loving it! Immediately loved the design inside & out. The only real downside would be the comparatively low charging peak, but since I charge at home in my garage 99% of the time I don't quite care.",0,True
UgzT4cGf4OGa5qYt9SF4AaABAg,comment,eNYndWedZsE,,False,@abulkashem1028,I love this presenter,0,True
UgwuLcaTUvXHc5Z9JSl4AaABAg,comment,eNYndWedZsE,,False,@leeg713,"The front seats can adjust the height. As long as it's doable for the driver, the seat can raise enough that most can fit their feet underneath.",0,True
UgyuiOkXHwuNATdHJvZ4AaABAg,comment,eNYndWedZsE,,False,@leeg713,"Tesla should be worried. Not to mention anything associated with musk, needs to be boycotted.",0,True
UgznmK5lb-7XiPcIMKt4AaABAg,comment,eNYndWedZsE,,False,@yours_sincerely48,Now most of my friends are driving China made cars after switching from Japanese cars.. Europe cars we long time already abandoned due to money pit for repair and unreliable.😮,2,True
UgwODKsTClQyuTOAELF4AaABAg,comment,eNYndWedZsE,,False,@michael8821-y7z,"I have just ordered a seal design, that crash test footage is amazing",1,True
UgyBe0tOAd3YPYt8Wyp4AaABAg,comment,eNYndWedZsE,,False,@1roryelliott,bought one - love it and yes it is amazing!!! do not doubt it - it is the best car I have really ever had and I have had a few in my time,2,True
UgzuSw2QOH-B5fjgN3d4AaABAg,comment,eNYndWedZsE,,False,@sailormanoyster1849,does it have lka & adaptive to cruise control😮,0,True
UgwrZkaArOtQQMFQ9554AaABAg,comment,eNYndWedZsE,,False,@stephenrutherford1143,"I loved you in Red Dwarf, and this is my favourite BYD Seal review. Thank you!",0,True
UgzMi2fbywqARuLNkWN4AaABAg,comment,eNYndWedZsE,,False,@CleanerMark,"It doesn’t quite have the basics needed to compete with the Model 3, it doesnt have features like Dog Mode, Camp Mode, and Sentry Mode, there’s no self-serve test drive,
 you need internet access for charging, the autopilot is far more basic, and—most importantly—it’s not even cheaper. It costs £45K, while the Model 3 Standard is £39K and the Model 3 Long Range is £45K. It can’t really compete on price either, since almost all Teslas in the UK are built in China—in the very same city as BYD!",0,True
UgzWc0kfeOAl8YStxph4AaABAg,comment,eNYndWedZsE,,False,@nickc6882,"7:30 as Jack Ma said, “China didn’t steal your jobs; you sold them to us.”",1,True
UgwpxGmqR28-RmYnDCJ4AaABAg,comment,eNYndWedZsE,,False,@zetimedinah,Beautiful landscape that attracted me most & of course your accent.. 🏴󠁧󠁢󠁳󠁣󠁴󠁿,0,True
UgyZ2TuLZUVB_myoW7J4AaABAg,comment,eNYndWedZsE,,False,@patrickyoung2815,Was this guy in red dwarf?,0,True
UgzeWzNHv4y3dZv4fT14AaABAg,comment,eNYndWedZsE,,False,@donaldespeut2042,Pretty poor from a Tesla fan boy!,0,True
UgzeWzNHv4y3dZv4fT14AaABAg.AIULWNnvNxSAIVleFLOpsV,comment,eNYndWedZsE,UgzeWzNHv4y3dZv4fT14AaABAg,True,@fullychargedshow,"I wish I understood the frankly ridiculous notion of 'fanboy.' I have never, very deliberately, been a 'fanboy' of anything, a football team, a Formulara 1 driver, a brand of computer,, a soft drink,, a fashion label.
I think anyone who wears clothes with other people's names or company logos in huge letter is seriously tragic, so I am not now, and never have been, a Tesla fanboy. But the really important thing is, I never was, 10 years ago when I got my first Tesla, I was not a fanboy.
I am driving a BYD Seal at the moment, I've had it a week. It's a genuinely amazing car.",0,True
Ugzn0W1MLj2dw6uKlmt4AaABAg,comment,eNYndWedZsE,,False,@Damonpuss,"That was fun, especially as I've just ordered one of these in Aus. Waiting for it to get here is pretty tough I have to say. Hurry up ship! 😄",0,True
Ugz-75MHpVIX9MGF7eN4AaABAg,comment,eNYndWedZsE,,False,@stephenrutherford1143,I am a big fan of Red Dwarf which I was right into in about 1993. I’ve just ordered a BYD Seal. So how nice was it to have Robert (Kryten) present this video in his own very amusing style: “carry on driver”. Terrific.,0,True
UgzqeGVKNJ3ZWFtBJd94AaABAg,comment,eNYndWedZsE,,False,@eugeneffolkes2055,Byd sea lion,0,True
UgzKAy1xKCb9QVodaH54AaABAg,comment,eNYndWedZsE,,False,@mrexpress8002,rather than saying build your dreams because you cannot say B-Y-D say BYD pronounced as bid. that would save you time. You welcome. :-),0,True
UgzCGKB6GSMRa0dBZnp4AaABAg,comment,eNYndWedZsE,,False,@originalkangarootoo,"New viewer of the channel here.  I just kept thinking, this guy looks and sounds so much like Robert Llewellyn.......... then I realised :D  Big fan here.

Excellent review :)",0,True
UgzCNk_Y3AO2t5TjgNR4AaABAg,comment,eNYndWedZsE,,False,@ArnoldsKtm,The camerawork is superb I must say.,1,True
Ugw0nvLzUU3GogFPEvZ4AaABAg,comment,eNYndWedZsE,,False,@Figjamxlaststar,I’ll buy a car based on what Kryton says!!,1,True
UgxT4GDWqTJQ8noRsJF4AaABAg,comment,eNYndWedZsE,,False,@bazs7669,Great review! Love your positivity and energy,0,True
UgzHx_mVAur5mjF1JWN4AaABAg,comment,eNYndWedZsE,,False,@UnfrozenImage,"On year later, and now we know the real Tesla killer... Musk himself 😊",1,True
UgytAL9amKrMw5rgZtZ4AaABAg,comment,eNYndWedZsE,,False,@SimonJHudson,"Great quality car, nice design and good looking inside and out 
BUT, last time I checked all BYD cars have poor regen braking and the incredibly annoying creep mode when stopped with no option to turn it off.
I'd buy one to replace my Tesla M3, but not until I can do proper one pedal driving.",0,True
UgwqqWI4-AW8-VGQIjh4AaABAg,comment,eNYndWedZsE,,False,@89parspilot,Thank you for an unbiased review. Feels like most Chanels on youtube are undermining BYD for political reasons.,0,True
UgxH5cDRUJy0vSF2u-B4AaABAg,comment,eNYndWedZsE,,False,@neindochoohh7955,Hände aus den Taschen!,0,True
UgzpoxBv-ZXQycaH4AF4AaABAg,comment,eNYndWedZsE,,False,@Bentzenx,300 miles is adequate? I'll stick with my V6 Audi which gives me 550. I won't be supporting cars subsidised by Chinese government grants.,0,True
Ugw9NGlEHN6V_SrqVEp4AaABAg,comment,eNYndWedZsE,,False,@obiwan5781,"When I see Asian taxi drivers using these in the UK, I'll know they'll have taken over.",0,True
UgzPqVoqd84lX4TudjB4AaABAg,comment,eNYndWedZsE,,False,@grantnyenes3742,"It’s a pretty cool car, and the xaomi even more impressive. Just like Japanese and then Korean cars before them, they start off a bit of a joke, but very soon become mainstream. No ones is laughing now..",0,True
UgyLWvfyCWnWpEUxOIp4AaABAg,comment,eNYndWedZsE,,False,@nooneyouknow7036,"Beautiful car, beautiful scenery, and beautiful videography. You did a good job too, Doug.",0,True
Ugxv6RjbtRKkNsv6DBJ4AaABAg,comment,eNYndWedZsE,,False,@dtr-g1s,Bla bla... you're halfway through before he starts reviewing the car. I've forgotten what it is by the time he starts talking about it.,0,True
UgyKOoNf3wrogRWsevt4AaABAg,comment,eNYndWedZsE,,False,@apumpkinmasher,"Nice car ... Explosive content ... tesla Model 3 still the king of range efficiency for now.
New toys fanboy waffle to sell YouTube product 1.08 million in this tube 'nice' earner.
History is that it just a car aka early 20th century concept  'salesmen' just selling status not an integrated transport system the real people need.",0,True
UgyKOoNf3wrogRWsevt4AaABAg.AAqxGQN_SlSAArluLV1oS0,comment,eNYndWedZsE,UgyKOoNf3wrogRWsevt4AaABAg,True,@apumpkinmasher,"@fullychargedshow methinks getting a bit hot under the collar or 'they' sponsors message is being diluted by the fiction of electric utopia not being embraced by the great majority of plebs. Big investments going south due to poor charging infrastructure, variable pricing and range lies.
PS not a troll have happy life and bye bye",0,True
UgyKOoNf3wrogRWsevt4AaABAg.AAqxGQN_SlSAAu9YcKxndl,comment,eNYndWedZsE,UgyKOoNf3wrogRWsevt4AaABAg,True,@apumpkinmasher,"I love the concept of nirvana driving experience but electric cars have issues that no amount of wordy wall paper salad will solve the issue of higher cost, range anxiety, poor charging infrastructure with variable pricing models, higher insurance the list goes on and on.
Wonder why Europe has put a tariff penalty on.
Chinese subsidies to buy market share hmmm
Promoting a good product is fine but critical analysis of the narrow view is just spin to sell the idea that is still in its evolutionary phase.
Reminds me of the british railway madness of the 19th century 
I have tried to say neutral conversation wise but it appears would rather denigrate than discuss.
Shows that you’re a bit thin skinned re this matter.
Wish you luck as folks are becoming more sceptical of electric gurus.
Cheers",0,True
Ugx9L6Ucfi9F2FCn02l4AaABAg,comment,eNYndWedZsE,,False,@Neil2022,“Nothing to distract you” when talking about fiddling with the screen whilst on the move. Ok right?..,0,True
UgyUwmQVUM9yT_kQNqp4AaABAg,comment,eNYndWedZsE,,False,@isaacneumann,"Too much in the car, too less time in the gym, my friend. It shows!",0,True
UgzuS17VRprqphS76m94AaABAg,comment,eNYndWedZsE,,False,@jamesdawson3123,"Seeing a heap here in Oz, test driving one in a couple of days, then it's decision time.
Tesla or BYD seal🤷‍♂️",0,True
UgzuS17VRprqphS76m94AaABAg.A9Xjt2UD-HwABfKYpsg6f3,comment,eNYndWedZsE,UgzuS17VRprqphS76m94AaABAg,True,@CThienV,Which did U buy?,0,True
UgzRBJ50YcXJC0t4HbV4AaABAg,comment,eNYndWedZsE,,False,@carlosgravil3325,"finally some competition to the West! good luck and hopefully quality, green reliable transportation for the world",0,True
UgwA5ARP7zp_nYqbkxh4AaABAg,comment,eNYndWedZsE,,False,@gerardkinneen7252,"""The Perfect EV"" i bet you say that to all the ev's",0,True
