source_id,source_type,video_id,parent_id,is_reply,author,text,like_count,public
Ugz3F01b0cx8kZJcgEJ4AaABAg,comment,gzHLv6rLSpQ,,False,@billlumbergh5942,man the interior is a million times better than a tesla,0,True
UgzoGJPR920SfhnO5WJ4AaABAg,comment,gzHLv6rLSpQ,,False,@claude_jiao,"It's a uber car like lexus es series and camry in Dubai, if you buy a BYD in China, it's just like buying a Lincoln Town Car in the US",0,True
Ugx2f7pe1oOX-i_vUaR4AaABAg,comment,gzHLv6rLSpQ,,False,@WangChuanfu-ceo_byd,I will like to know your review of our product in the rate of 10/100%,0,True
UgzdPhndsoORRaOoRxN4AaABAg,comment,gzHLv6rLSpQ,,False,@joeldujsik,a fair number of dumb features that nobody will ever use.,0,True
Ugymq1m0sXAc8oxFRUh4AaABAg,comment,gzHLv6rLSpQ,,False,@Thejaka2009,Beautiful car. I wish I could own one someday 😊,2,True
Ugz-qq3TrMInxUoL9TN4AaABAg,comment,gzHLv6rLSpQ,,False,@RayBD-n8ha,Chinese products are known for high quality 😂😂😂😂😂😂😂 NOT,0,True
Ugyd7dncbdnb7HeXsOJ4AaABAg,comment,gzHLv6rLSpQ,,False,@brandonfranklin1030,How do you have California plates if it’s not available in the states?,0,True
UgxhC8twQRiDsOBC1ZF4AaABAg,comment,gzHLv6rLSpQ,,False,@SeekTheTruthJesus,"CCP CHINA PAID YOU FOR VIDEO 😂
BYD IS MADE OF CHEAP MATERIAL FROM VIDEOS I HAVE SEEN FROM INSIDE CHINA THESE CARS SUCK CAN’T GET THEM REPAIRED NO ONE WANTS THIS JUNK QUIT LYING",0,True
UgwBV2vZ7NDNiuFEjud4AaABAg,comment,gzHLv6rLSpQ,,False,@banglatechusa,I found some fancy features but I still like Tesla,0,True
UgxP1kepDG6DEbxDQxB4AaABAg,comment,gzHLv6rLSpQ,,False,@keithfaulkner1288,"China can make very inexpensive junk, but they are capable of making very high quality things too. And still less then anywhere else.",0,True
UgxP1kepDG6DEbxDQxB4AaABAg.AIiB1bonsMJAJtHufyiAJY,comment,gzHLv6rLSpQ,UgxP1kepDG6DEbxDQxB4AaABAg,True,@SeekTheTruthJesus,Less because it’s built with cheap material,0,True
