source_id,source_type,video_id,parent_id,is_reply,author,text,like_count,public
Ugz2E_qQvv2WGz1-ALJ4AaABAg,comment,iueGI4CzP-0,,False,@mxm4317,"My mother uses a sunshade, she also has that buttons, you know the sexy buttons it’s a cool feature. It’s really goddamn cool feature to have. 
Just imagine that you can control the lights more than you can just imagine adding shortcut buttons anywhere in the car",0,True
UgzMQL1EGJNyvUVeANB4AaABAg,comment,iueGI4CzP-0,,False,@anonmouse956,"I own it, couldn’t be happier.",1,True
UgyieWVnV_mz9deEr-x4AaABAg,comment,iueGI4CzP-0,,False,@screes620,"2 Years later and this is the car i've got my eye on to buy next year when it hits 3 years old.  The 2024 model.  With the new battery chemistry, i think I'm going to find the highest milage one i can find and get a great deal on it.",1,True
UgxLnFGTYx0oqIBICqh4AaABAg,comment,iueGI4CzP-0,,False,@BjornSmith-xv3xz,how it feels watching in the back of my dads tesla model 3 while going to practice,4,True
UgxM2F0FSyvvmm2cJY94AaABAg,comment,iueGI4CzP-0,,False,@cigxhang486,Wtf you have to do PRNDL on a screen? I will never understand that and never get this car,0,True
Ugw48nbbuFp8pFTaIQx4AaABAg,comment,iueGI4CzP-0,,False,@Kenneth_James,Check his vibe change in the vid that came out 2026.  Such a lemming,0,True
UgwI_eBvnMqcHanl9a54AaABAg,comment,iueGI4CzP-0,,False,@francischan57c,Buy it,1,True
UgwYpdy49xX3pdnkH2Z4AaABAg,comment,iueGI4CzP-0,,False,@markgabbidon5859,THERE A NO PHYSICAL CONTROLS OR NOBS TO TURN. THATS A BIG TURN OFF. NO SIR,0,True
Ugwxdj11GSFh__1fQHh4AaABAg,comment,iueGI4CzP-0,,False,@ajinkyamate7918,"DEI !!! This video is all about the DEI !! (listen to that in Trump's voice, and yes, like this comment if you get the reference).",0,True
Ugzq1apxaXfWTFC5WzZ4AaABAg,comment,iueGI4CzP-0,,False,@MenaMohmed-x3m,Who else is watching this in 2025? ??,1,True
